pan max
pan_gene_11325 2
pan_gene_11337 3
pan_gene_11341 2
pan_gene_11342 2
pan_gene_11347 2
pan_gene_11349 3
pan_gene_11350 3
pan_gene_11361 2
pan_gene_11366 2
pan_gene_11386 2
pan_gene_1139 4
pan_gene_11393 2
pan_gene_11397 3
pan_gene_1140 2
pan_gene_11406 3
pan_gene_11412 2
pan_gene_11416 2
pan_gene_11417 3
pan_gene_11420 2
pan_gene_11424 3
pan_gene_11425 2
pan_gene_11441 3
pan_gene_11443 3
pan_gene_11444 2
pan_gene_11449 2
pan_gene_11450 4
pan_gene_11455 2
pan_gene_11456 2
pan_gene_1146 2
pan_gene_11466 3
pan_gene_11469 2
pan_gene_1148 2
pan_gene_11483 2
pan_gene_11487 2
pan_gene_1149 2
pan_gene_11490 2
pan_gene_11494 2
pan_gene_115 2
pan_gene_1150 3
pan_gene_11513 2
pan_gene_11519 2
pan_gene_1152 2
pan_gene_11521 2
pan_gene_11524 4
pan_gene_11526 2
pan_gene_11528 2
pan_gene_1153 2
pan_gene_11533 2
pan_gene_11534 2
pan_gene_11540 2
pan_gene_1155 2
pan_gene_11551 2
pan_gene_11555 3
pan_gene_11556 2
pan_gene_11557 2
pan_gene_11558 2
pan_gene_11564 2
pan_gene_11573 2
pan_gene_11577 2
pan_gene_11582 2
pan_gene_11585 2
pan_gene_1159 2
pan_gene_11598 2
pan_gene_11607 2
pan_gene_11608 2
pan_gene_11609 2
pan_gene_11612 2
pan_gene_11617 3
pan_gene_1162 2
pan_gene_11624 2
pan_gene_11627 2
pan_gene_11628 2
pan_gene_1163 2
pan_gene_11637 3
pan_gene_11641 3
pan_gene_11647 2
pan_gene_11648 2
pan_gene_11656 2
pan_gene_11657 2
pan_gene_11659 3
pan_gene_11664 3
pan_gene_11666 2
pan_gene_11670 2
pan_gene_11671 2
pan_gene_11673 2
pan_gene_11677 4
pan_gene_1168 2
pan_gene_11683 2
pan_gene_11695 2
pan_gene_11696 3
pan_gene_11697 2
pan_gene_1170 2
pan_gene_11708 2
pan_gene_11710 3
pan_gene_11724 2
pan_gene_11728 2
pan_gene_11740 2
pan_gene_11743 2
pan_gene_11746 2
pan_gene_11752 3
pan_gene_11762 2
pan_gene_11775 2
pan_gene_11777 2
pan_gene_11781 2
pan_gene_11783 2
pan_gene_11784 2
pan_gene_11788 2
pan_gene_11789 2
pan_gene_11792 2
pan_gene_1180 3
pan_gene_11802 2
pan_gene_11805 2
pan_gene_11807 2
pan_gene_11810 2
pan_gene_11814 3
pan_gene_11822 2
pan_gene_11824 2
pan_gene_11830 2
pan_gene_11836 2
pan_gene_11837 2
pan_gene_11841 2
pan_gene_11844 2
pan_gene_11845 2
pan_gene_11858 2
pan_gene_11863 2
pan_gene_11866 6
