pan max
pan_gene_10571 1
pan_gene_10574 1
pan_gene_10575 1
pan_gene_10577 1
pan_gene_10579 1
pan_gene_1058 1
pan_gene_10582 1
pan_gene_10583 1
pan_gene_10584 1
pan_gene_10587 1
pan_gene_10590 1
pan_gene_10591 1
pan_gene_10592 1
pan_gene_1060 1
pan_gene_10603 1
pan_gene_10607 1
pan_gene_10608 1
pan_gene_10609 1
pan_gene_1061 1
pan_gene_10612 1
pan_gene_10615 1
pan_gene_10617 1
pan_gene_10619 1
pan_gene_10622 1
pan_gene_10623 1
pan_gene_10624 1
pan_gene_10625 1
pan_gene_10629 1
pan_gene_10633 1
pan_gene_10638 1
pan_gene_10639 1
pan_gene_10640 1
pan_gene_10643 1
pan_gene_10644 1
pan_gene_10646 1
pan_gene_10648 1
pan_gene_10649 1
pan_gene_1065 1
pan_gene_10651 1
pan_gene_10655 1
pan_gene_10661 1
pan_gene_10662 1
pan_gene_10663 1
pan_gene_10667 1
pan_gene_10669 1
pan_gene_1067 1
pan_gene_10672 1
pan_gene_10675 1
pan_gene_10676 1
pan_gene_10677 1
pan_gene_10679 1
pan_gene_10680 1
pan_gene_10681 1
pan_gene_10682 1
pan_gene_10683 1
pan_gene_10686 1
pan_gene_10687 1
pan_gene_10688 1
pan_gene_10689 1
pan_gene_10690 1
pan_gene_10691 1
pan_gene_10692 1
pan_gene_10693 1
pan_gene_10695 1
pan_gene_1070 1
pan_gene_10700 1
pan_gene_10701 1
pan_gene_10702 1
pan_gene_10703 1
pan_gene_10704 1
pan_gene_10706 1
pan_gene_10707 1
pan_gene_1071 1
pan_gene_10714 1
pan_gene_10715 1
pan_gene_10716 1
pan_gene_10717 1
pan_gene_10718 1
pan_gene_10719 1
pan_gene_10720 1
pan_gene_10721 1
pan_gene_10723 1
pan_gene_10724 1
pan_gene_10725 1
pan_gene_10726 1
pan_gene_10728 1
pan_gene_1073 1
pan_gene_10733 1
pan_gene_10734 1
pan_gene_10736 1
pan_gene_1074 1
pan_gene_10740 1
pan_gene_10741 1
pan_gene_10742 1
pan_gene_10744 1
pan_gene_10745 1
pan_gene_10746 1
pan_gene_10747 1
pan_gene_10749 1
pan_gene_1075 1
pan_gene_10750 1
pan_gene_10751 1
pan_gene_10754 1
pan_gene_10757 1
pan_gene_10758 1
pan_gene_10759 1
pan_gene_1076 1
pan_gene_10762 1
pan_gene_10763 1
pan_gene_10767 1
pan_gene_10768 1
pan_gene_1077 1
pan_gene_10773 1
pan_gene_10774 1
pan_gene_10776 1
pan_gene_10777 1
pan_gene_10778 1
pan_gene_10779 1
pan_gene_1078 1
pan_gene_10781 1
pan_gene_10789 1
pan_gene_1079 1
pan_gene_10792 1
pan_gene_10797 1
pan_gene_10798 1
pan_gene_10799 1
pan_gene_1080 1
pan_gene_10801 1
pan_gene_10802 1
pan_gene_10804 1
pan_gene_10805 1
pan_gene_10806 1
pan_gene_10807 1
pan_gene_1081 1
pan_gene_10810 1
pan_gene_10812 1
pan_gene_10813 1
pan_gene_10814 1
pan_gene_10815 1
pan_gene_1082 1
pan_gene_10820 1
pan_gene_10821 1
pan_gene_10824 1
pan_gene_10825 1
pan_gene_10826 1
pan_gene_10827 1
pan_gene_10828 1
pan_gene_10829 1
pan_gene_10830 1
pan_gene_10831 1
pan_gene_10833 1
pan_gene_10835 1
pan_gene_10838 1
pan_gene_10839 1
pan_gene_1084 1
pan_gene_10840 1
pan_gene_10841 1
pan_gene_10842 1
pan_gene_10848 1
pan_gene_10854 1
pan_gene_10855 1
pan_gene_1086 1
pan_gene_1087 1
pan_gene_10879 1
pan_gene_1088 1
pan_gene_10881 1
pan_gene_10883 1
pan_gene_10884 1
pan_gene_10885 1
pan_gene_10888 1
pan_gene_10889 1
pan_gene_1089 1
pan_gene_10891 1
pan_gene_10894 1
pan_gene_1090 1
pan_gene_1092 1
pan_gene_1095 1
pan_gene_1097 1
pan_gene_1098 1
pan_gene_110 1
pan_gene_1100 1
pan_gene_1103 1
pan_gene_11052 1
pan_gene_11054 1
pan_gene_11055 1
pan_gene_11056 1
pan_gene_11057 1
pan_gene_11060 1
pan_gene_11061 1
pan_gene_11062 1
pan_gene_11063 1
pan_gene_11064 1
pan_gene_11068 1
pan_gene_1107 1
pan_gene_11070 1
pan_gene_11071 1
pan_gene_11072 1
pan_gene_11076 1
pan_gene_1108 1
pan_gene_11080 1
