pan max
pan_gene_24871 4
pan_gene_24876 5
pan_gene_24880 3
pan_gene_24902 2
pan_gene_24905 4
pan_gene_25004 5
pan_gene_25007 4
pan_gene_25107 2
pan_gene_25119 3
pan_gene_25126 3
pan_gene_25181 3
pan_gene_25217 14
pan_gene_25224 4
pan_gene_253 2
pan_gene_25318 3
pan_gene_25500 3
pan_gene_25503 2
pan_gene_25520 9
pan_gene_25560 6
pan_gene_25663 3
pan_gene_25837 6
pan_gene_25874 3
pan_gene_25938 4
pan_gene_26003 3
pan_gene_26008 2
pan_gene_26021 10
pan_gene_26022 4
pan_gene_26167 2
pan_gene_26259 21
pan_gene_26275 2
pan_gene_26277 4
pan_gene_26312 2
pan_gene_26349 2
pan_gene_26376 13
pan_gene_26396 2
pan_gene_26426 2
pan_gene_2659 6
pan_gene_26627 2
pan_gene_26677 2
pan_gene_26842 2
pan_gene_26886 3
pan_gene_27054 4
pan_gene_27059 4
pan_gene_27181 5
pan_gene_27239 2
pan_gene_27284 4
pan_gene_27295 4
pan_gene_27344 4
pan_gene_27495 3
pan_gene_27497 3
pan_gene_2752 3
pan_gene_27522 3
pan_gene_27542 2
pan_gene_27567 6
pan_gene_27584 2
pan_gene_27643 4
pan_gene_2767 3
pan_gene_2769 4
pan_gene_27706 2
pan_gene_27832 6
pan_gene_27862 3
pan_gene_279 6
pan_gene_27942 2
pan_gene_27950 2
pan_gene_28033 3
pan_gene_28096 2
pan_gene_28101 5
pan_gene_28150 3
pan_gene_28236 3
pan_gene_28242 3
pan_gene_28252 6
pan_gene_28267 3
pan_gene_28336 2
pan_gene_28348 2
pan_gene_28389 6
pan_gene_28417 3
pan_gene_28443 8
pan_gene_28454 30
pan_gene_28461 13
pan_gene_28476 2
pan_gene_28502 12
pan_gene_28514 3
pan_gene_28539 4
pan_gene_28545 4
pan_gene_28550 18
pan_gene_28576 3
pan_gene_2860 4
pan_gene_28664 5
pan_gene_28670 5
pan_gene_28687 2
pan_gene_28730 3
pan_gene_28746 7
pan_gene_28750 4
pan_gene_28777 4
pan_gene_28809 5
pan_gene_28819 9
pan_gene_2882 5
pan_gene_28910 2
pan_gene_28990 8
pan_gene_29057 3
pan_gene_29071 2
pan_gene_29083 5
pan_gene_29168 4
pan_gene_29173 5
pan_gene_29184 2
pan_gene_29197 5
pan_gene_29282 2
pan_gene_29316 7
pan_gene_29346 4
pan_gene_2939 4
pan_gene_29438 2
pan_gene_29516 2
pan_gene_29538 2
pan_gene_29589 8
pan_gene_29612 5
pan_gene_29632 3
pan_gene_29660 4
pan_gene_29671 2
pan_gene_2971 5
pan_gene_29773 4
pan_gene_29781 4
pan_gene_29786 3
pan_gene_29826 2
pan_gene_2995 3
pan_gene_29950 9
pan_gene_29956 8
pan_gene_30019 2
pan_gene_30050 3
pan_gene_30056 8
pan_gene_3015 3
pan_gene_30161 2
pan_gene_3018 3
pan_gene_30253 3
pan_gene_30283 3
pan_gene_30324 3
pan_gene_30351 3
pan_gene_30391 2
pan_gene_304 6
pan_gene_30413 4
pan_gene_30435 3
pan_gene_30457 4
pan_gene_3050 4
pan_gene_30552 2
pan_gene_30611 5
pan_gene_3108 2
pan_gene_3110 2
pan_gene_31210 7
pan_gene_31227 2
pan_gene_31230 7
pan_gene_31318 6
pan_gene_31357 5
pan_gene_31457 8
pan_gene_31480 5
pan_gene_31487 2
pan_gene_31502 7
pan_gene_31523 3
pan_gene_31529 5
pan_gene_31530 15
pan_gene_31540 2
pan_gene_31569 4
pan_gene_31590 5
pan_gene_31602 4
pan_gene_31622 5
pan_gene_31657 3
pan_gene_31660 3
pan_gene_31666 2
pan_gene_31670 4
pan_gene_31717 3
pan_gene_31806 4
pan_gene_31812 7
pan_gene_3184 2
pan_gene_31884 4
pan_gene_31909 2
pan_gene_31933 8
pan_gene_32025 3
pan_gene_32042 16
pan_gene_32048 4
pan_gene_32055 2
pan_gene_3217 3
pan_gene_32221 3
pan_gene_32238 2
pan_gene_32247 2
pan_gene_32274 4
pan_gene_32299 2
pan_gene_32300 6
pan_gene_32360 5
pan_gene_32374 6
pan_gene_32453 4
pan_gene_32475 9
pan_gene_32484 4
pan_gene_32502 6
pan_gene_32537 3
pan_gene_32572 6
pan_gene_32623 4
pan_gene_32631 7
pan_gene_3266 3
pan_gene_32701 2
pan_gene_32830 3
pan_gene_32834 24
pan_gene_3372 6
pan_gene_3374 3
pan_gene_33980 8
pan_gene_3410 3
pan_gene_34501 5
pan_gene_3469 3
pan_gene_3485 3
pan_gene_3532 5
pan_gene_35445 7
pan_gene_35516 3
pan_gene_3552 3
pan_gene_35548 11
pan_gene_35645 3
pan_gene_35649 4
pan_gene_3577 5
pan_gene_3583 12
pan_gene_35921 4
pan_gene_36442 3
pan_gene_3681 3
pan_gene_3693 3
pan_gene_3701 6
pan_gene_3705 6
pan_gene_374 31
pan_gene_3742 15
pan_gene_3751 3
pan_gene_3753 3
pan_gene_3789 5
pan_gene_3810 3
pan_gene_3820 3
pan_gene_3822 2
pan_gene_3832 2
pan_gene_38321 3
pan_gene_3869 4
pan_gene_3870 2
pan_gene_38952 40
pan_gene_39061 7
pan_gene_3914 2
pan_gene_3935 4
pan_gene_3978 3
pan_gene_40185 12
pan_gene_4039 3
pan_gene_4063 2
pan_gene_4068 6
pan_gene_4088 3
pan_gene_4113 10
pan_gene_412 2
pan_gene_4126 5
pan_gene_4155 2
pan_gene_4206 3
pan_gene_4222 3
pan_gene_42388 4
pan_gene_424 2
pan_gene_42633 12
pan_gene_43044 5
pan_gene_4315 2
pan_gene_4321 4
pan_gene_43435 11
pan_gene_4369 8
pan_gene_4371 3
pan_gene_43857 5
pan_gene_4388 7
pan_gene_4407 3
pan_gene_4429 3
pan_gene_4464 13
pan_gene_4492 9
pan_gene_44979 3
pan_gene_4539 3
pan_gene_4547 7
pan_gene_4569 3
pan_gene_4571 3
pan_gene_4581 3
pan_gene_4597 6
pan_gene_460 3
pan_gene_4630 2
pan_gene_4641 2
pan_gene_4656 14
pan_gene_4660 5
pan_gene_46664 12
pan_gene_4708 3
pan_gene_4720 4
pan_gene_474 5
pan_gene_4795 2
pan_gene_48152 4
pan_gene_4817 3
pan_gene_491 2
pan_gene_492 3
pan_gene_5063 2
pan_gene_5068 2
pan_gene_50725 3
pan_gene_5076 3
pan_gene_509 3
pan_gene_5091 4
pan_gene_51033 4
pan_gene_51039 16
pan_gene_5104 5
pan_gene_5114 5
pan_gene_51153 4
pan_gene_51356 10
pan_gene_5139 9
pan_gene_5147 5
pan_gene_5179 5
pan_gene_5226 2
