pan,B73,B97,CML103,CML322,CML69,HP301,Il14H,Ki11,Ki3,Ky21,M37W,Mo18W,Ms71,NC350,NC358,Oh43,Oh7B,P39,Tx303,Tzi8
pan_gene_19040,18.7057,27.8525,24.4994,17.1249,17.3532,26.3694,14.5546,24.746,13.5271,17.5039,18.4922,18.2473,18.4669,21.5696,23.1985,22.044,25.6169,18.0385,14.7065,21.1834
pan_gene_19041,68.925,48.9454,64.6067,34.1747,32.4622,49.6158,48.5097,45.3003,28.3501,46.7254,35.3045,35.9798,45.4303,31.6055,54.4968,32.5014,57.2328,48.2096,38.3771,39.7422
pan_gene_19042,5.8405,14.1444,26.3267,8.44987,NA,19.6632,11.0493,15.9208,9.46265,7.09527,10.4,14.94,13.1459,NA,9.76973,14.8605,15.473,13.0753,10.2426,8.94034
pan_gene_19044,0.327471,0.199768,0.24985,0.575105,0.726863,0.075022,0.28822,0.0863742,0.352191,0.377892,0.397711,0.610578,0.429258,1.59393,0.347215,1.03988,0.645565,NA,0.366111,2.19138
pan_gene_19045,0.208495,0.42291,0.386997,2.81863,0.727272,0.148256,0.218221,0.211641,1.13075,0.965899,0.640325,1.41593,0.59009,0.629918,1.24734,1.09797,0.889343,1.45212,1.75959,1.20997
pan_gene_19047,10.2485,10.7573,12.1898,NA,NA,9.65709,9.40552,9.07914,10.9584,10.8484,14.2232,7.83943,10.949,8.95162,9.04295,7.83921,9.25851,9.28366,11.3785,10.0862
pan_gene_19048,0.0752864,0,NA,0,0,NA,0,0,0,NA,2.93076,0.0150205,0,0.0204024,0.0337462,0.0230096,NA,0,0.421438,0.0630384
pan_gene_19049,3.69097,5.76136,6.6756,2.59878,4.09455,5.3478,4.00205,4.24076,1.50414,2.53471,4.1834,4.02341,2.89235,3.55557,5.88501,3.83054,3.77389,4.27271,4.8858,3.71701
pan_gene_1905,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
pan_gene_19050,5.05174,7.41116,9.23757,7.19254,8.33116,6.56019,8.45,7.25984,8.29348,8.05931,13.817,9.55544,10.2745,10.5218,14.5206,10.9396,10.1748,24.1922,6.86222,9.28737
pan_gene_19051,47.4898,49.5288,36.2318,40.3823,51.1745,42.1704,46.0919,42.0493,41.375,40.5716,46.0786,33.909,43.7616,38.3719,40.0202,33.36,36.433,34.3034,34.0939,59.9054
pan_gene_19052,0.343617,1.35171,3.3083,0.400665,0.637716,0.428247,1.45855,0.617527,1.46062,3.14823,2.42673,7.05852,0.364102,1.1016,0.675027,0.956394,0.61559,0.707467,1.58322,11.0341
pan_gene_19053,4.77483,14.8608,23.1143,7.63186,7.03746,9.36319,14.5412,6.0976,3.84687,10.4031,4.71551,10.8655,16.6849,6.86469,7.84517,16.7039,7.80416,12.9824,5.93947,7.50819
pan_gene_19054,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
pan_gene_19055,28.888,43.3086,63.621,35.0487,37.746,46.1475,35.2766,37.0636,33.4536,44.6761,31.5166,40.6821,44.0373,38.5185,46.9685,35.1373,43.9279,29.0327,68.4577,39.1655
pan_gene_19058,10.7045,7.37098,11.4174,10.6125,11.5159,6.2766,NA,9.1393,8.50088,14.8277,0.545566,9.90836,NA,NA,6.08713,11.673,11.5899,NA,8.49822,17.254
pan_gene_19059,3.7,2.09734,3.64063,3.81572,4.17784,2.02473,2.22536,2.55306,3.22543,4.60089,0.367104,3.04935,6.48242,3.50178,2.60807,5.13964,4.95866,3.11526,2.62392,6.40119
pan_gene_1906,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
