,B73,Tzi8,Ky21,Ms71,Oh7B,Oh43,M37W,Mo18W,NC350,HP301,Il14H,P39,CML69,Ki11,CML322,Ki3,CML103,Tx303,NC358,B97
pan_gene_76,NA,6.87301,5.34254,6.24577,6.33386,5.28905,7.34252,NA,5.99681,7.3632,8.18073,NA,7.38747,7.21651,5.71991,6.29822,NA,NA,7.45038,NA
pan_gene_77,NA,0.474548,NA,NA,0.660935,0.443023,0.822332,1.15278,NA,NA,0.597647,0.704488,NA,0.501106,0.773247,NA,0.226745,0.502408,NA,0.831975
pan_gene_78,NA,15.5137,30.2412,26.1989,23.1515,29.9942,21.573,25.0425,14.6173,20.4959,20.573,16.0254,17.022,19.3511,12.3289,17.3897,30.2719,20.0809,24.3871,18.7299
pan_gene_80,NA,NA,0.402261,0.707576,0.899173,0.551967,0.702949,0.198748,0.522854,NA,NA,NA,0.916177,1.29909,0.37946,1.26429,0.872067,0.524996,0.444889,2.21543
pan_gene_81,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
pan_gene_82,NA,NA,0,NA,NA,NA,0,0,0,0,0,NA,NA,NA,0,NA,0,NA,NA,NA
pan_gene_83,NA,0.50798,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
pan_gene_86,NA,24.7032,13.1771,22.9976,26.1952,21.1301,NA,13.9842,17.4975,6.51169,11.6452,24.6872,NA,NA,20.6289,16.9132,NA,21.8944,20.5849,14.754
pan_gene_87,NA,7.6384,3.55215,NA,NA,4.35133,NA,3.70883,4.45772,4.0755,3.36786,1.06121,9.48492,3.94014,4.8558,5.93536,12.4412,1.69691,NA,5.13377
pan_gene_88,NA,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,NA,0,NA,0,0
pan_gene_89,NA,NA,NA,0,NA,NA,NA,NA,0.238763,0,0,NA,0,NA,NA,0,NA,NA,NA,NA
pan_gene_90,NA,2.07777,0,0,2.17871,0.0312037,0,0,0.0155861,0,0.0670614,0,NA,0,0,0,0,2.9469,0.0493061,0
pan_gene_91,NA,204.028,114.536,97.3858,121.155,122.132,119.422,228.761,134.525,207.438,194.496,116.905,NA,248.451,139.284,309.046,170.37,58.9325,146.799,177.753
pan_gene_92,NA,NA,NA,0.790779,6.34847,NA,13.4815,1.64142,1.49597,1.20405,1.60638,0.830251,NA,NA,2.36871,NA,NA,NA,0.44681,0.916753
pan_gene_93,NA,2.17497,0.151087,1.8943,2.28057,1.88402,1.9721,0.481811,0.347941,0.75696,1.42145,2.86028,1.09052,0.885824,0.193044,0.265019,0.268787,0.254696,1.5209,2.14896
pan_gene_94,NA,0.88183,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
pan_gene_95,NA,NA,27.0919,NA,28.9415,NA,NA,38.8988,22.3327,19.9177,39.0839,NA,9.55992,29.6027,33.9191,17.1127,51.4494,33.3761,33.4066,18.433
pan_gene_96,NA,NA,NA,NA,NA,NA,NA,0.857295,NA,NA,0.611666,NA,15.3715,NA,1.58074,NA,2.16365,NA,10.224,5.82807
pan_gene_98,NA,4.13358,5.76968,2.56992,7.32063,5.55471,3.22937,6.13978,6.16115,8.5296,3.79351,3.99812,NA,4.95948,3.13876,3.2917,7.81789,3.34741,6.75088,NA
pan_gene_100,NA,214.847,151.94,176.441,129.877,122.796,161.918,230.615,166.406,140.073,NA,170.931,NA,254.041,201.904,227.392,222.385,199.197,160.712,267.912
pan_gene_101,NA,1.91284,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
pan_gene_102,NA,72.2906,NA,NA,53.9226,39.8721,77.1534,61.8061,77.4007,55.29,NA,55.1595,75.934,73.1308,67.762,78.9086,71.46,65.3113,64.5302,65.3528
pan_gene_103,NA,36.0567,18.4893,36.1211,NA,25.6614,75.7138,31.3131,42.495,27.0167,125.501,60.5733,37.7491,80.6127,37.1172,87.7678,46.5702,61.6046,58.728,32.6984
pan_gene_108,0.123839,NA,4.29193,4.17389,5.79629,5.55178,3.67947,4.58312,6.59685,5.31893,4.33164,4.44012,4.99459,4.37904,6.60974,3.21217,3.76991,4.60707,NA,3.42254
pan_gene_109,NA,29.0643,22.0846,16.8739,16.9108,NA,25.2232,14.6804,NA,16.7955,24.391,24.5528,21.5218,20.7846,29.1581,31.0192,18.8388,18.9277,21.2252,22.3911
pan_gene_110,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA
pan_gene_113,NA,0,0.202766,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
pan_gene_114,NA,0.304016,0.184378,NA,0.435613,NA,0.335516,0.167284,NA,0.164522,0.255462,NA,0.218073,NA,NA,NA,NA,0.166109,0.256911,NA
pan_gene_115,NA,0.0041833,0,NA,0,NA,0,0.00373991,NA,0.00343311,NA,0.0180051,0.0167287,0,NA,NA,0.00454608,NA,NA,NA
pan_gene_116,NA,NA,38.7703,35.1919,53.2042,39.6167,167.639,63.343,72.3901,52.8663,72.1934,53.1051,68.7153,58.1352,58.8795,73.0119,46.752,54.2892,58.1624,58.2316
pan_gene_117,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
pan_gene_118,NA,0.155104,NA,NA,NA,NA,NA,NA,NA,0.457649,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.167214
pan_gene_119,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
pan_gene_120,NA,12.8486,7.79622,NA,NA,NA,13.1314,10.5739,18.3087,NA,NA,5.81809,NA,NA,NA,11.9648,NA,NA,NA,NA
pan_gene_122,NA,101.144,90.9703,111.136,67.5972,20.8823,110.873,88.0602,75.7506,88.5164,103.147,57.8262,98.7936,116.734,69.953,88.9713,89.9773,78.6777,94.4145,108.488
pan_gene_123,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
pan_gene_124,NA,268.497,293.962,222.566,295.203,299.422,187.768,218.639,NA,340.074,208.477,244.742,254.977,354.099,227.142,244.27,481.947,308.893,255.021,218.39
pan_gene_125,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
pan_gene_127,NA,0.495473,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
pan_gene_128,NA,0.236394,0.624208,NA,NA,0.10694,NA,0.423596,0.311064,NA,NA,0.406598,NA,NA,NA,NA,NA,NA,0.604321,0.347886
pan_gene_130,NA,10.4108,0.140376,0.289723,0.16143,NA,0.713176,NA,NA,18.5682,0.209581,0.0842437,14.1332,4.6771,8.85378,8.269,0.0966145,0.271891,19.6539,0.220036
pan_gene_131,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
pan_gene_132,NA,NA,9.80197,NA,NA,10.6004,10.5002,NA,NA,NA,NA,10.9013,NA,16.6724,14.8162,NA,NA,13.0412,14.0187,13.3163
pan_gene_133,NA,NA,9.12207,NA,11.05,14.7657,20.6668,10.6387,NA,8.39751,18.4143,22.3603,17.2528,14.7171,NA,13.0037,16.6358,NA,NA,25.8595
pan_gene_134,NA,5.88855,4.50669,7.0297,6.16231,NA,5.95303,5.94034,5.4601,1.8473,10.2986,6.20096,NA,7.54295,3.89725,6.54981,3.88032,2.89666,1.98843,4.50976
pan_gene_135,NA,10.2622,14.4693,19.3806,12.5081,11.5684,13.5966,15.7991,7.95833,12.699,17.4354,14.0579,11.6016,14.3904,11.4714,NA,16.1747,18.5813,12.2474,19.406
pan_gene_136,NA,6.78572,NA,NA,NA,2.12781,NA,NA,5.2922,NA,3.48566,3.75727,12.8997,NA,10.2958,7.15691,5.06367,NA,NA,2.73293
pan_gene_137,NA,699.748,604.917,629.188,617.173,672.25,534.208,608.875,NA,621.538,503.465,624.987,516.701,588.4,453.821,440.016,NA,NA,596.024,725.834
pan_gene_138,153.219,153.219,76.1347,82.5352,106.794,74.6035,170.038,123.82,141.844,101.621,111.134,67.4238,114.213,115.113,121.678,108.406,82.4157,111.667,110.771,115.045
pan_gene_139,NA,7.01813,5.58033,3.76674,5.53088,4.03502,4.3545,8.17451,6.36045,5.85411,6.90165,4.71218,6.0397,6.68146,5.21696,6.72594,5.96198,5.59222,NA,4.73733
