,pan,B73,Tzi8,Ky21,M162W,Ms71,Oh7B,Oh43,M37W,Mo18W,NC350,HP301,Il14H,P39,CML52,CML69,Ki11,CML228,CML247,CML277,CML322,CML333,Ki3,CML103,Tx303,NC358,B97
24159,pan_gene_7433,0.0478,0.0036,0.0546,0.0889,0.0227,0.0157,0.0104,0.0265,0.0349,0.0458,0.0467,0.6354,0.614,0.047,0.0228,0.2158,0.0424,0.6937,0.0173,0.0105,0.0267,0.0699,0.079,0.5649,0.035,0.0284
24169,pan_gene_744,0.1248,NA,NA,0.0465,0.1345,0.1048,NA,NA,0.0966,0.0058,0.1691,0.0057,NA,0.2099,0.0292,0.3004,0.3667,0.0041,NA,0.0039,0.2601,0.3481,0.0116,NA,NA,NA
24236,pan_gene_7493,9e-04,8e-04,0,0,0.0011,0,7e-04,0.1153,0,0.2709,0.01,0,8e-04,5e-04,0.0058,0.0124,0.0011,6e-04,0,0.0025,0,8e-04,0,0.0122,0.001,0.0032
24242,pan_gene_74946,NA,NA,NA,NA,NA,NA,NA,NA,0.7541,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2994,NA,NA,NA,NA,NA,NA,NA
24246,pan_gene_74973,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0.6471,NA,0.0021,NA,0.6625,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24299,pan_gene_7535,0.6562,0.7006,0.6793,0.6975,0.6922,0.6883,0.7603,0.5197,0.6781,0.6377,0.7908,0.6607,0.6108,0.7347,0.6788,0.733,0.7841,0.6639,0.6915,0.6543,0.6507,0.7591,0.6767,0.7239,0.6217,0.6716
24334,pan_gene_7556,0.1545,0.0016,0.0164,0.0353,0.0637,0.0405,0.0066,0.046,0.0186,0.0399,0.057,0.0867,0.0387,0.0187,0.0221,0.1032,0.2383,0.0284,NA,0.003,0.0639,0.2281,0.0526,0.0131,0.0598,0.0168
24434,pan_gene_7635,0.1422,0.0045,0.0452,0.3386,0.0629,0.1587,0.1692,NA,0.1266,0.0769,NA,0.0986,0.0966,0.0142,0.4298,0.1788,NA,0.3546,0.1745,0.0931,0.1609,0.1953,0.2637,NA,0.0552,0.1725
24464,pan_gene_766,NA,0.0046,NA,0.383,0,NA,NA,0,NA,0,NA,NA,NA,NA,NA,0.0019,NA,0,NA,NA,NA,0.005,0.0015,0,0,0.0019
24482,pan_gene_7672,0.0855,NA,0.0936,0.1185,0.0856,0.0704,0.046,0.0828,NA,0.1622,NA,0.0757,NA,NA,NA,NA,0.2586,NA,0.1411,0.1018,NA,0.0124,NA,0.1319,0.0195,0.1615
24518,pan_gene_7695,0.0055,0,0.0012,0.1598,0.0047,0.0011,0.0093,0.0019,0,0.0039,0.0041,0,0.0014,0.0048,0.151,0.0057,0,0.0148,0.1274,0,NA,0.1344,0.2228,0.0065,0.007,0.1556
24543,pan_gene_7712,NA,0.5754,0.6351,NA,NA,NA,NA,NA,NA,0.5234,NA,NA,NA,NA,0.6935,NA,0.7439,0.7329,0.7269,NA,0.6804,NA,0.6936,NA,NA,NA
24547,pan_gene_77131,NA,NA,NA,NA,NA,NA,0.7955,0.4258,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1206,NA,NA,NA,NA,NA,NA
24550,pan_gene_77137,NA,NA,NA,NA,0.6,0.7542,NA,NA,0.83,0.6214,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24573,pan_gene_7725,0.6308,0.0174,NA,NA,0.4748,NA,NA,NA,0.4628,NA,NA,NA,NA,NA,NA,0.0061,0.0055,0.0083,0.004,NA,NA,NA,NA,0.0048,0.4872,NA
24575,pan_gene_7726,0.5614,NA,0.5362,NA,0.4448,0.5469,NA,NA,NA,0.5696,0.6101,NA,NA,NA,0.5818,0.5084,0.6375,NA,NA,0.4341,0.4485,0.587,NA,0.5272,NA,0.5429
24576,pan_gene_7727,0.0323,0,0,NA,0.0046,0.0027,0.0046,0.1315,0.0193,0.0079,0.0047,0.0151,0.0247,0.2055,0.0181,0.1147,0.171,0.0858,0.0128,0.0153,0.1303,0.0461,0.1348,0.0146,0.0148,0.161
